trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
110,FALSE,"{'a': 0.5, 'e': 0.8957848329039129}",20,9,-22.82439084,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
111,FALSE,"{'a': 0.5, 'e': 0.894889048071009}",25,0,-70.26575048,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
112,FALSE,"{'a': 0.5, 'e': 0.8939941590229379}",20,16,7.935492391,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,FALSE,"{'a': 0.5, 'e': 0.893100164863915}",20,0,-28.94454786,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
114,FALSE,"{'a': 0.5, 'e': 0.8922070646990511}",25,0,-9.610143126,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
115,FALSE,"{'a': 0.5, 'e': 0.891314857634352}",30,3,-40.47948979,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 0}",1
116,FALSE,"{'a': 0.5, 'e': 0.8904235427767176}",20,0,-44.57382176,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
117,FALSE,"{'a': 0.5, 'e': 0.889533119233941}",30,0,-30.69459743,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
118,FALSE,"{'a': 0.5, 'e': 0.8886435861147071}",30,0,-49.29287939,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
119,FALSE,"{'a': 0.5, 'e': 0.8877549425285923}",20,0,-33.81126945,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
120,FALSE,"{'a': 0.5, 'e': 0.8868671875860638}",20,10,-26.27354727,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
121,FALSE,"{'a': 0.5, 'e': 0.8859803203984776}",30,12,-18.62247047,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
122,FALSE,"{'a': 0.5, 'e': 0.8850943400780792}",25,0,-51.54674995,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
123,FALSE,"{'a': 0.5, 'e': 0.8842092457380011}",25,0,-24.81176697,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
124,FALSE,"{'a': 0.5, 'e': 0.8833250364922631}",20,0,-49.28833951,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
125,FALSE,"{'a': 0.5, 'e': 0.8824417114557709}",25,14,-13.34961772,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
126,FALSE,"{'a': 0.5, 'e': 0.8815592697443151}",30,0,-52.99289111,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
127,FALSE,"{'a': 0.5, 'e': 0.8806777104745708}",25,0,-34.80849153,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
128,FALSE,"{'a': 0.5, 'e': 0.8797970327640962}",20,13,2.160698555,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,FALSE,"{'a': 0.5, 'e': 0.8789172357313321}",30,0,-65.70136603,"{0: 19, 1: 5, 2: 6, 3: 0, 4: 0}",0
130,FALSE,"{'a': 0.5, 'e': 0.8780383184956008}",25,1,-41.4467933,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 0}",1
131,FALSE,"{'a': 0.5, 'e': 0.8771602801771051}",25,0,-28.74314813,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
132,FALSE,"{'a': 0.5, 'e': 0.876283119896928}",20,0,-32.69683461,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
133,FALSE,"{'a': 0.5, 'e': 0.8754068367770311}",20,0,-69.70287193,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
134,FALSE,"{'a': 0.5, 'e': 0.8745314299402541}",25,0,-88.44042307,"{0: 13, 1: 3, 2: 9, 3: 0, 4: 0}",0
135,FALSE,"{'a': 0.5, 'e': 0.8736568985103138}",20,0,-11.12882442,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
136,FALSE,"{'a': 0.5, 'e': 0.8727832416118035}",20,1,-40.62108884,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 0}",1
137,FALSE,"{'a': 0.5, 'e': 0.8719104583701917}",25,16,10.07536334,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,FALSE,"{'a': 0.5, 'e': 0.8710385479118216}",20,3,-41.0947385,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 0}",1
139,FALSE,"{'a': 0.5, 'e': 0.8701675093639096}",35,0,-102.2057312,"{0: 24, 1: 2, 2: 8, 3: 0, 4: 1}",0
140,FALSE,"{'a': 0.5, 'e': 0.8692973418545458}",20,0,-35.23673162,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
141,FALSE,"{'a': 0.5, 'e': 0.8684280445126912}",25,0,-55.97240202,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
142,FALSE,"{'a': 0.5, 'e': 0.8675596164681786}",30,0,-102.637571,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
143,FALSE,"{'a': 0.5, 'e': 0.8666920568517104}",35,3,-108.9190853,"{0: 18, 1: 2, 2: 12, 3: 0, 4: 0}",1
144,FALSE,"{'a': 0.5, 'e': 0.8658253647948586}",25,0,-28.22533495,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
145,FALSE,"{'a': 0.5, 'e': 0.8649595394300638}",20,0,-43.32524052,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
146,FALSE,"{'a': 0.5, 'e': 0.8640945798906338}",25,0,-32.97955917,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
147,FALSE,"{'a': 0.5, 'e': 0.8632304853107431}",30,0,-5.55286911,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
148,FALSE,"{'a': 0.5, 'e': 0.8623672548254323}",25,0,-37.18509467,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
149,FALSE,"{'a': 0.5, 'e': 0.861504887570607}",25,11,-8.198331634,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
150,FALSE,"{'a': 0.5, 'e': 0.8606433826830363}",20,1,-101.720145,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 1}",1
151,FALSE,"{'a': 0.5, 'e': 0.8597827393003532}",30,0,-70.53558915,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 0}",0
152,FALSE,"{'a': 0.5, 'e': 0.8589229565610529}",25,0,-135.8866462,"{0: 10, 1: 6, 2: 8, 3: 0, 4: 1}",0
153,FALSE,"{'a': 0.5, 'e': 0.8580640336044919}",30,0,-69.80079198,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 0}",0
154,FALSE,"{'a': 0.5, 'e': 0.8572059695708873}",20,3,-20.10837672,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
155,FALSE,"{'a': 0.5, 'e': 0.8563487636013165}",20,0,-24.45753996,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
156,FALSE,"{'a': 0.5, 'e': 0.8554924148377152}",20,0,-30.83972949,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
157,FALSE,"{'a': 0.5, 'e': 0.8546369224228775}",25,14,11.89508557,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,FALSE,"{'a': 0.5, 'e': 0.8537822855004545}",30,0,-107.2046796,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
159,FALSE,"{'a': 0.5, 'e': 0.8529285032149541}",20,1,-8.883723917,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
160,FALSE,"{'a': 0.5, 'e': 0.8520755747117391}",35,0,-72.61034514,"{0: 23, 1: 5, 2: 7, 3: 0, 4: 0}",0
161,FALSE,"{'a': 0.5, 'e': 0.8512234991370274}",20,0,-42.78388634,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
162,FALSE,"{'a': 0.5, 'e': 0.8503722756378904}",25,0,-62.01398577,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
163,FALSE,"{'a': 0.5, 'e': 0.8495219033622525}",25,0,-81.33709335,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
164,FALSE,"{'a': 0.5, 'e': 0.8486723814588902}",20,9,-48.71467727,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
165,FALSE,"{'a': 0.5, 'e': 0.8478237090774313}",20,0,-38.54438194,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
166,FALSE,"{'a': 0.5, 'e': 0.8469758853683539}",25,0,-59.85216522,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
167,FALSE,"{'a': 0.5, 'e': 0.8461289094829856}",35,0,-35.46961556,"{0: 26, 1: 5, 2: 4, 3: 0, 4: 0}",0
168,FALSE,"{'a': 0.5, 'e': 0.8452827805735026}",20,8,-39.72650236,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 0}",1
169,FALSE,"{'a': 0.5, 'e': 0.8444374977929291}",25,0,-77.97049849,"{0: 15, 1: 0, 2: 10, 3: 0, 4: 0}",0
170,FALSE,"{'a': 0.5, 'e': 0.8435930602951361}",30,0,-76.99353128,"{0: 19, 1: 2, 2: 9, 3: 0, 4: 0}",0
171,FALSE,"{'a': 0.5, 'e': 0.842749467234841}",20,2,-19.42328704,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
172,FALSE,"{'a': 0.5, 'e': 0.8419067177676062}",20,0,5.338153781,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
173,FALSE,"{'a': 0.5, 'e': 0.8410648110498385}",20,0,-63.60315292,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
174,FALSE,"{'a': 0.5, 'e': 0.8402237462387887}",20,0,-70.48465843,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
175,FALSE,"{'a': 0.5, 'e': 0.83938352249255}",20,0,-36.64099581,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
176,FALSE,"{'a': 0.5, 'e': 0.8385441389700574}",25,0,-66.69743207,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
177,FALSE,"{'a': 0.5, 'e': 0.8377055948310873}",30,1,-20.46699766,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 0}",1
178,FALSE,"{'a': 0.5, 'e': 0.8368678892362562}",30,1,-76.60033355,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 0}",1
