trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1781,False,"{'a': 0.5, 'e': 0.16831953801618346}",20,3,4.645528629970988,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
1782,False,"{'a': 0.5, 'e': 0.16815121847816727}",25,13,22.538786218183184,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1783,False,"{'a': 0.5, 'e': 0.16798306725968912}",30,22,8.177244333590387,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
1784,False,"{'a': 0.5, 'e': 0.16781508419242944}",30,16,26.959268062227395,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1785,False,"{'a': 0.5, 'e': 0.167647269108237}",25,0,15.263243365121047,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
1786,False,"{'a': 0.5, 'e': 0.16747962183912876}",30,13,-3.5782001900347753,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
1787,False,"{'a': 0.5, 'e': 0.16731214221728963}",25,14,20.89258027745362,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1788,False,"{'a': 0.5, 'e': 0.16714483007507233}",25,15,-3.7663625737899005,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
1789,False,"{'a': 0.5, 'e': 0.16697768524499726}",20,16,8.043658921715583,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1790,False,"{'a': 0.5, 'e': 0.16681070755975227}",25,12,24.39993991172533,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1791,False,"{'a': 0.5, 'e': 0.16664389685219252}",25,15,7.715078191025069,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1792,False,"{'a': 0.5, 'e': 0.16647725295534033}",25,16,20.14792251581311,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1793,False,"{'a': 0.5, 'e': 0.16631077570238498}",20,5,5.487863057337816,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
1794,False,"{'a': 0.5, 'e': 0.1661444649266826}",20,9,20.850459172697427,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1795,False,"{'a': 0.5, 'e': 0.16597832046175592}",20,10,-22.924395015968127,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
1796,False,"{'a': 0.5, 'e': 0.16581234214129417}",20,3,13.193682817471515,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
1797,False,"{'a': 0.5, 'e': 0.16564652979915287}",20,13,12.451472578335371,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1798,False,"{'a': 0.5, 'e': 0.1654808832693537}",20,13,13.949190422467865,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1799,False,"{'a': 0.5, 'e': 0.16531540238608436}",25,8,3.8599822741320633,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
1800,False,"{'a': 0.5, 'e': 0.16515008698369826}",25,14,19.030871188265564,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1801,False,"{'a': 0.5, 'e': 0.16498493689671456}",25,14,20.826681823883924,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1802,False,"{'a': 0.5, 'e': 0.16481995195981786}",20,14,12.765555115507063,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1803,False,"{'a': 0.5, 'e': 0.16465513200785806}",20,14,12.857121919892883,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1804,False,"{'a': 0.5, 'e': 0.1644904768758502}",20,7,9.721311916601625,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1805,False,"{'a': 0.5, 'e': 0.16432598639897433}",25,9,31.46461678913368,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1806,False,"{'a': 0.5, 'e': 0.16416166041257535}",25,5,14.735253944938806,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
1807,False,"{'a': 0.5, 'e': 0.16399749875216277}",20,14,11.949849570341287,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1808,False,"{'a': 0.5, 'e': 0.16383350125341062}",25,15,18.678336230486348,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1809,False,"{'a': 0.5, 'e': 0.16366966775215722}",20,2,22.733317251423387,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
1810,False,"{'a': 0.5, 'e': 0.16350599808440505}",25,18,15.83559552187297,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1811,False,"{'a': 0.5, 'e': 0.16334249208632065}",25,18,15.152161980451226,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1812,False,"{'a': 0.5, 'e': 0.16317914959423432}",30,17,13.981610282940602,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1813,False,"{'a': 0.5, 'e': 0.16301597044464008}",30,20,21.3445624676626,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1814,False,"{'a': 0.5, 'e': 0.16285295447419545}",30,11,22.987820668605757,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
1815,False,"{'a': 0.5, 'e': 0.16269010151972127}",20,12,13.13876017301811,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1816,False,"{'a': 0.5, 'e': 0.16252741141820154}",20,12,4.3009615139139,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1817,False,"{'a': 0.5, 'e': 0.16236488400678334}",20,16,9.487514180788544,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
